arm,n,het,drift,seed,lambda_hz,submitted,completed,thr_hz,mean_ms,p50_ms,p95_ms,p99_ms,iwwe,jain
pull,20,0,0,1,162.50,5292,4619,131.95,81.83,81.64,83.59,85.14,0.03500,0.9998
gossip,20,0,0,1,162.50,4946,4297,122.77,84.89,81.73,103.43,157.46,0.15361,0.9303
broker,20,0,0,1,162.50,4913,4273,122.08,85.25,81.93,101.35,141.29,0.18042,0.9394
pull,20,0,0.2,1,162.50,5210,4541,129.73,105.87,73.98,335.78,545.12,0.02839,0.9588
gossip,20,0,0.2,1,162.50,4953,4290,122.54,114.30,77.00,355.02,649.07,0.18709,0.9377
broker,20,0,0.2,1,162.50,4961,4304,122.97,113.63,78.13,355.94,658.59,0.18603,0.9407
pull,20,0.5,0,1,162.50,5216,4558,130.20,91.39,77.36,186.97,202.42,0.03524,0.9618
gossip,20,0.5,0,1,162.50,4928,4269,121.96,89.49,76.13,187.36,203.12,0.12706,0.9371
broker,20,0.5,0,1,162.50,4950,4295,122.69,93.61,77.31,188.25,239.28,0.17400,0.9285
pull,20,0.5,0.2,1,162.50,5242,4568,130.42,115.99,80.05,343.13,654.00,0.02505,0.9627
gossip,20,0.5,0.2,1,162.50,4936,4283,122.34,113.92,67.64,369.28,667.14,0.14139,0.9561
broker,20,0.5,0.2,1,162.50,4932,4283,122.35,128.32,82.79,402.49,751.86,0.20025,0.9433
pull,20,1,0,1,162.50,5270,4598,131.34,105.81,69.41,317.01,481.91,0.02481,0.9407
gossip,20,1,0,1,162.50,4954,4302,122.87,119.26,70.20,387.01,577.10,0.22837,0.9169
broker,20,1,0,1,162.50,4964,4308,123.07,107.69,68.59,386.29,564.67,0.21834,0.9192
pull,20,1,0.2,1,162.50,5271,4592,131.15,123.18,55.94,403.43,899.24,0.02078,0.9643
gossip,20,1,0.2,1,162.50,4954,4298,122.80,142.11,60.50,480.13,1089.17,0.18246,0.9546
broker,20,1,0.2,1,162.50,4953,4294,122.65,137.77,56.95,463.36,1078.88,0.17616,0.9504
pull,20,0,0,2,162.50,5251,4573,130.62,81.82,81.63,83.65,85.07,0.03820,1.0000
gossip,20,0,0,2,162.50,5006,4327,123.59,84.60,81.67,100.78,158.31,0.12564,0.9314
broker,20,0,0,2,162.50,4970,4294,122.68,85.03,81.92,100.80,133.52,0.14203,0.9354
pull,20,0,0.2,2,162.50,5227,4537,129.63,112.35,75.19,330.74,631.41,0.02546,0.9623
gossip,20,0,0.2,2,162.50,4941,4270,121.95,112.66,67.19,355.11,693.00,0.17567,0.9404
broker,20,0,0.2,2,162.50,4973,4291,122.59,125.53,80.90,378.59,765.63,0.18974,0.9439
pull,20,0.5,0,2,162.50,5246,4563,130.29,91.68,78.80,154.58,359.56,0.03280,0.9590
gossip,20,0.5,0,2,162.50,4958,4282,122.30,93.03,74.16,223.88,360.20,0.14770,0.9291
broker,20,0.5,0,2,162.50,4941,4280,122.28,94.50,79.17,224.36,359.54,0.15889,0.9371
pull,20,0.5,0.2,2,162.50,5200,4520,129.14,117.40,76.41,329.01,716.70,0.02032,0.9655
gossip,20,0.5,0.2,2,162.50,4946,4269,121.93,120.86,70.34,355.58,852.26,0.17919,0.9362
broker,20,0.5,0.2,2,162.50,4919,4240,121.13,126.86,74.85,373.01,893.72,0.20787,0.9419
pull,20,1,0,2,162.50,5245,4549,129.96,105.18,73.88,294.02,583.81,0.02728,0.9354
gossip,20,1,0,2,162.50,4938,4265,121.75,114.57,74.11,294.53,583.21,0.21813,0.9121
broker,20,1,0,2,162.50,4968,4288,122.48,113.52,73.49,294.30,588.91,0.20794,0.9151
pull,20,1,0.2,2,162.50,5225,4535,129.54,124.84,62.05,401.87,930.95,0.01907,0.9645
gossip,20,1,0.2,2,162.50,4961,4281,122.28,124.65,55.36,414.37,1017.50,0.16256,0.9565
broker,20,1,0.2,2,162.50,4978,4290,122.55,142.12,67.64,468.97,1217.45,0.20372,0.9571
